DATAFLOW,LAST UPDATE,freq,unit,sex,age,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,ES,2019,18.9,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,ES,2020,20.0,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,ES,2021,20.0,bd
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,ES,2022,17.9,d
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,ES,2023,16.5,d
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,EU27_2020,2012,17.4,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,EU27_2020,2013,18.8,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,EU27_2020,2014,18.4,b
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,EU27_2020,2015,17.4,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,EU27_2020,2016,16.3,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,EU27_2020,2017,15.0,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,EU27_2020,2018,13.4,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,EU27_2020,2019,12.4,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,EU27_2020,2020,12.6,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,EU27_2020,2021,12.7,b
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,EU27_2020,2022,11.4,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,EU27_2020,2023,10.9,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,FI,2012,11.6,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,FI,2013,12.2,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,FI,2014,12.5,b
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,FI,2015,12.3,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,FI,2016,11.8,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,FI,2017,12.9,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,FI,2018,11.5,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,FI,2019,11.1,
ESTAT:TPS00066(1.0),13/06/24 23:00:00,A,PC,T,Y25-64,ED0-2,FI,2020,12.4,
